dataset,round,method,train_time,adj_r2,rmse,mae
feats10_snr10_N10000,0,torch_optimized,10.026953812688589,0.8833072527269371,0.8289510011672974,0.655472457408905
feats10_snr10_N10000,1,torch_optimized,6.412499791011214,0.862399739858984,0.907141923904419,0.7162039875984192
feats10_snr10_N10000,2,torch_optimized,15.0628541726619,0.869333367783959,0.8760177493095398,0.6952031850814819
feats10_snr10_N10000,3,torch_optimized,8.926766099408269,0.8826556848062288,0.8277082443237305,0.6600050926208496
feats10_snr10_N10000,4,torch_optimized,7.372581576928496,0.8819421976145558,0.8286230564117432,0.656966507434845
feats10_snr10_N10000,5,torch_optimized,19.978900300338864,0.8851876939698662,0.8291564583778381,0.6589453816413879
feats10_snr10_N10000,6,torch_optimized,8.60056714899838,0.8843111760785461,0.8364192247390747,0.6664062738418579
feats10_snr10_N10000,7,torch_optimized,9.839046716690063,0.8728932640829188,0.8601611852645874,0.6854456067085266
feats10_snr10_N10000,8,torch_optimized,7.687919024378061,0.8716449366954643,0.8664142489433289,0.6870774626731873
feats10_snr10_N10000,9,torch_optimized,13.22442652657628,0.8767731756391588,0.8502110242843628,0.6770815253257751
feats10_snr10_N100000,0,torch_optimized,113.91126599162817,0.9045858366123394,1.0818160772323608,0.8622903227806091
feats10_snr10_N100000,1,torch_optimized,167.8653114195913,0.9023607786588429,1.0963674783706665,0.8736993670463562
feats10_snr10_N100000,2,torch_optimized,178.01512108370662,0.9010204983035648,1.098819375038147,0.877402663230896
feats10_snr10_N100000,3,torch_optimized,253.57216547243297,0.8972310635827319,1.1218407154083252,0.8940935730934143
feats10_snr10_N100000,4,torch_optimized,124.78227667883039,0.9049652295882551,1.0807772874832153,0.8613985180854797
feats10_snr10_N100000,5,torch_optimized,155.12793731875718,0.9022738220637699,1.0955212116241455,0.873988151550293
feats10_snr10_N100000,6,torch_optimized,190.45029647275805,0.9038917087143994,1.0867341756820679,0.8663588166236877
feats10_snr10_N100000,7,torch_optimized,174.24953775294125,0.9029575736782998,1.0870167016983032,0.8666800260543823
feats10_snr10_N100000,8,torch_optimized,220.13195428438485,0.9033012674249494,1.0859867334365845,0.8661513328552246
feats10_snr10_N100000,9,torch_optimized,178.61835204809904,0.8952304479894551,1.133246660232544,0.9033865332603455
feats10_snr10_N500000,0,torch_optimized,1247.2934023011476,0.9024634496293921,0.9901295900344849,0.7900786399841309
feats10_snr10_N500000,1,torch_optimized,600.7514815609902,0.9041481272576203,0.9817461371421814,0.7831714749336243
feats10_snr10_N500000,2,torch_optimized,388.6301097907126,0.8942557959016668,1.032525658607483,0.8229350447654724
feats10_snr10_N500000,3,torch_optimized,1078.9597726911306,0.904682995161769,0.9799098372459412,0.7817777395248413
feats10_snr10_N500000,4,torch_optimized,699.891832916066,0.9032878189483077,0.985678493976593,0.7863394021987915
feats10_snr10_N500000,5,torch_optimized,603.317874211818,0.8963496648517535,1.021865963935852,0.8142036199569702
feats10_snr10_N500000,6,torch_optimized,553.2171099055558,0.9022552906590251,0.9912090301513672,0.7909418344497681
feats10_snr10_N500000,7,torch_optimized,968.306160217151,0.9026676540138103,0.9909703135490417,0.7909243106842041
feats10_snr10_N500000,8,torch_optimized,1178.5893772281706,0.9039778450436027,0.9831604361534119,0.7849750518798828
feats10_snr10_N500000,9,torch_optimized,1205.9881853479892,0.8987579900473097,1.0099895000457764,0.8057540655136108
feats10_snr3_N10000,0,torch_optimized,11.379333665594459,0.6927055964464798,1.6123054027557373,1.2812939882278442
feats10_snr3_N10000,1,torch_optimized,20.505554420873523,0.6607677179497704,1.6745939254760742,1.330146074295044
feats10_snr3_N10000,2,torch_optimized,10.5381376221776,0.7140023185548932,1.5565141439437866,1.2394160032272339
feats10_snr3_N10000,3,torch_optimized,19.66117685288191,0.6616625635980284,1.6771206855773926,1.3211575746536255
feats10_snr3_N10000,4,torch_optimized,16.676855878904462,0.6747343678105613,1.6598103046417236,1.3183153867721558
feats10_snr3_N10000,5,torch_optimized,12.165498344227672,0.6954307134883355,1.6059138774871826,1.2755534648895264
feats10_snr3_N10000,6,torch_optimized,19.156062714755535,0.6549180933887289,1.7064132690429688,1.3564072847366333
feats10_snr3_N10000,7,torch_optimized,9.980999827384949,0.6830242320248106,1.6406559944152832,1.3072898387908936
feats10_snr3_N10000,8,torch_optimized,9.580432582646608,0.6981794015248388,1.5850673913955688,1.2612724304199219
feats10_snr3_N10000,9,torch_optimized,12.909387666732073,0.708327629048016,1.5638359785079956,1.2527390718460083
feats10_snr3_N100000,0,torch_optimized,163.16790461540222,0.7397382994201895,1.8377978801727295,1.463821291923523
feats10_snr3_N100000,1,torch_optimized,181.53622813150287,0.7155224707839158,1.9020986557006836,1.520905613899231
feats10_snr3_N100000,2,torch_optimized,150.57780314795673,0.7222313179022254,1.8830883502960205,1.503212809562683
feats10_snr3_N100000,3,torch_optimized,287.8019079621881,0.743640647588953,1.8182220458984375,1.4513590335845947
feats10_snr3_N100000,4,torch_optimized,146.74886144511402,0.739136114423844,1.822167992591858,1.4553943872451782
feats10_snr3_N100000,5,torch_optimized,270.372945567593,0.7373662003652862,1.8288484811782837,1.4592407941818237
feats10_snr3_N100000,6,torch_optimized,131.92726895026863,0.7340372349894431,1.8416175842285156,1.4698185920715332
feats10_snr3_N100000,7,torch_optimized,199.30906381458044,0.7308964890495542,1.8472700119018555,1.4721283912658691
feats10_snr3_N100000,8,torch_optimized,238.222968544811,0.7424746536548246,1.8129392862319946,1.4446845054626465
feats10_snr3_N100000,9,torch_optimized,198.34940126538277,0.7385919731458397,1.829074501991272,1.4574439525604248
feats10_snr3_N500000,0,torch_optimized,1265.900025671348,0.7396873575561418,1.088042140007019,0.8680275082588196
feats10_snr3_N500000,1,torch_optimized,1284.2494082730263,0.7399052187175732,1.0867632627487183,0.8668509125709534
feats10_snr3_N500000,2,torch_optimized,707.8303484600037,0.7355256588065884,1.094236135482788,0.8723756670951843
feats10_snr3_N500000,3,torch_optimized,878.2159417960793,0.7389974651753053,1.088661789894104,0.8686728477478027
feats10_snr3_N500000,4,torch_optimized,729.0337367448956,0.7395689787411215,1.088236927986145,0.8678410649299622
feats10_snr3_N500000,5,torch_optimized,877.0130784660578,0.7326639434631983,1.1017354726791382,0.8788788318634033
feats10_snr3_N500000,6,torch_optimized,1245.866797849536,0.7366435833434957,1.0942268371582031,0.8722019195556641
feats10_snr3_N500000,7,torch_optimized,775.6727893892676,0.7344229979997676,1.0994898080825806,0.8774866461753845
feats10_snr3_N500000,8,torch_optimized,675.4215609803796,0.7362509194024374,1.093459129333496,0.8725548386573792
feats10_snr3_N500000,9,torch_optimized,1656.6543652173132,0.738303995767242,1.089843988418579,0.869637131690979
feats20_snr10_N10000,0,torch_optimized,11.924829946830869,0.8575965871367386,1.9143705368041992,1.5195461511611938
feats20_snr10_N10000,1,torch_optimized,9.593075396493077,0.856705721838551,1.9258127212524414,1.5178641080856323
feats20_snr10_N10000,2,torch_optimized,9.587115222588181,0.866274047459792,1.8628692626953125,1.4694454669952393
feats20_snr10_N10000,3,torch_optimized,11.163626916706562,0.8607687610319501,1.914168119430542,1.5153988599777222
feats20_snr10_N10000,4,torch_optimized,11.557038338854909,0.8453616136678801,1.9818344116210938,1.5645639896392822
feats20_snr10_N10000,5,torch_optimized,15.166488567367196,0.8532659588919282,1.970879316329956,1.550946831703186
feats20_snr10_N10000,6,torch_optimized,10.54268043115735,0.86507416959906,1.8999208211898804,1.5076810121536255
feats20_snr10_N10000,7,torch_optimized,11.348454516381025,0.8621438218006029,1.8871132135391235,1.497649073600769
feats20_snr10_N10000,8,torch_optimized,13.033020222559571,0.8363780307579988,2.079465866088867,1.6323373317718506
feats20_snr10_N10000,9,torch_optimized,10.60203511454165,0.8530956175880966,1.9380487203598022,1.533996820449829
feats20_snr10_N100000,0,torch_optimized,184.65614537335932,0.8886062243171216,1.5159199237823486,1.207995057106018
feats20_snr10_N100000,1,torch_optimized,381.0856348834932,0.8760274569826481,1.5913853645324707,1.264724850654602
feats20_snr10_N100000,2,torch_optimized,104.30630646273494,0.8867535808115239,1.5205610990524292,1.212141513824463
feats20_snr10_N100000,3,torch_optimized,125.36241089180112,0.892502136335257,1.4887542724609375,1.1865768432617188
feats20_snr10_N100000,4,torch_optimized,239.69773905165493,0.8940632876971518,1.46868896484375,1.1700243949890137
feats20_snr10_N100000,5,torch_optimized,206.5900695119053,0.8910207439939744,1.4940531253814697,1.1895678043365479
feats20_snr10_N100000,6,torch_optimized,368.93597012758255,0.8978757984406616,1.445789098739624,1.1517322063446045
feats20_snr10_N100000,7,torch_optimized,216.26855012401938,0.8963032806907618,1.4546703100204468,1.1580508947372437
feats20_snr10_N100000,8,torch_optimized,196.45885718800128,0.8964522228254936,1.4598654508590698,1.1624653339385986
feats20_snr10_N100000,9,torch_optimized,300.6785862687975,0.8714551579852563,1.621706247329712,1.2892330884933472
feats20_snr10_N500000,0,torch_optimized,884.9348808247596,0.895037080973891,1.317573070526123,1.0506548881530762
feats20_snr10_N500000,1,torch_optimized,761.5947581268847,0.8995165986697075,1.2892416715621948,1.0293155908584595
feats20_snr10_N500000,2,torch_optimized,939.7688468880951,0.8970206584949338,1.3044180870056152,1.0390658378601074
feats20_snr10_N500000,3,torch_optimized,1317.8808785565197,0.8795153361446968,1.413643479347229,1.125291109085083
feats20_snr10_N500000,4,torch_optimized,776.7516955025494,0.8835482040540851,1.3840820789337158,1.1025701761245728
feats20_snr10_N500000,5,torch_optimized,1128.154633861035,0.9008909630185968,1.2802913188934326,1.0207922458648682
feats20_snr10_N500000,6,torch_optimized,633.3946819491684,0.8975055068597096,1.3019472360610962,1.0372003316879272
feats20_snr10_N500000,7,torch_optimized,613.1945525221527,0.8896645642259973,1.348150610923767,1.074779748916626
feats20_snr10_N500000,8,torch_optimized,1746.9128558970988,0.89616972337793,1.3072508573532104,1.0430737733840942
feats20_snr10_N500000,9,torch_optimized,849.1626765877008,0.8982812835504786,1.2972066402435303,1.0346101522445679
feats20_snr3_N10000,0,torch_optimized,9.607030041515827,0.6289122468304394,3.222048759460449,2.5604448318481445
feats20_snr3_N10000,1,torch_optimized,8.71284312941134,0.5946604318561588,3.3817577362060547,2.704286813735962
feats20_snr3_N10000,2,torch_optimized,10.000668376684189,0.650460497736115,3.126249074935913,2.484463930130005
feats20_snr3_N10000,3,torch_optimized,11.688082724809647,0.5842631127920157,3.4051222801208496,2.6993207931518555
feats20_snr3_N10000,4,torch_optimized,10.063265452161431,0.6601430037939874,3.103914737701416,2.4648096561431885
feats20_snr3_N10000,5,torch_optimized,8.845981437712908,0.6105966975504822,3.300276041030884,2.6025142669677734
feats20_snr3_N10000,6,torch_optimized,9.464975835755467,0.6309402672764146,3.1955690383911133,2.5250000953674316
feats20_snr3_N10000,7,torch_optimized,10.448383977636695,0.6254465008449082,3.293494462966919,2.605039119720459
feats20_snr3_N10000,8,torch_optimized,9.119472054764628,0.6187012748303573,3.2825093269348145,2.5817556381225586
feats20_snr3_N10000,9,torch_optimized,13.957816332578659,0.6148672549985994,3.299346685409546,2.603529214859009
feats20_snr3_N100000,0,torch_optimized,205.63990175165236,0.7254051152449825,2.1599080562591553,1.7201611995697021
feats20_snr3_N100000,1,torch_optimized,116.05478375777602,0.7267512525761787,2.1556293964385986,1.7198619842529297
feats20_snr3_N100000,2,torch_optimized,220.9318724181503,0.7281126044182933,2.1444013118743896,1.7082537412643433
feats20_snr3_N100000,3,torch_optimized,137.0220909304917,0.7254209607260423,2.161506414413452,1.7246148586273193
feats20_snr3_N100000,4,torch_optimized,219.91891223937273,0.7250628369243123,2.1573293209075928,1.7221530675888062
feats20_snr3_N100000,5,torch_optimized,152.3282457794994,0.6991340934706445,2.261754274368286,1.8049430847167969
feats20_snr3_N100000,6,torch_optimized,166.98709875531495,0.7283406593450779,2.1471850872039795,1.713716745376587
feats20_snr3_N100000,7,torch_optimized,245.26538714580238,0.723573911992333,2.1712429523468018,1.7330437898635864
feats20_snr3_N100000,8,torch_optimized,333.64764264039695,0.727114074726857,2.151909112930298,1.7141120433807373
