dataset,round,method,train_time,adj_r2,rmse,mae
feats10_snr10_N10000,0,torch_optimized,1.5436506989935879,0.8937271614859583,0.7910757660865784,0.632254421710968
feats10_snr10_N10000,1,torch_optimized,1.6816746699914802,0.8946532002270002,0.7937363982200623,0.632131040096283
feats10_snr10_N10000,2,torch_optimized,2.086398168001324,0.892436386090824,0.794809877872467,0.6356472373008728
feats10_snr10_N10000,3,torch_optimized,1.9620936819992494,0.8946885094870689,0.784122884273529,0.6274534463882446
feats10_snr10_N10000,4,torch_optimized,2.2285213269933593,0.8926995353890463,0.7899697422981262,0.6275980472564697
feats10_snr10_N10000,5,torch_optimized,1.7957391840027412,0.8966906544710642,0.7865241169929504,0.6270014643669128
feats10_snr10_N10000,6,torch_optimized,2.0933718599990243,0.8970273531366256,0.7891130447387695,0.6303676962852478
feats10_snr10_N10000,7,torch_optimized,1.4627239120018203,0.8945443269283315,0.7834847569465637,0.6270825266838074
feats10_snr10_N10000,8,torch_optimized,2.372815267997794,0.8913414789463177,0.7971700429916382,0.6337767243385315
feats10_snr10_N10000,9,torch_optimized,3.309071898998809,0.8887498040523927,0.8078384399414062,0.6460563540458679
feats10_snr10_N100000,0,torch_optimized,22.050933457998326,0.9061145313357916,1.0731148719787598,0.8545444011688232
feats10_snr10_N100000,1,torch_optimized,12.444584531986038,0.9061569633257691,1.074842929840088,0.8576012253761292
feats10_snr10_N100000,2,torch_optimized,16.522320631993352,0.9047576432937986,1.0778759717941284,0.8604797720909119
feats10_snr10_N100000,3,torch_optimized,17.6492252570024,0.9059855420454194,1.0729948282241821,0.854874849319458
feats10_snr10_N100000,4,torch_optimized,23.950294242997188,0.9047790954971665,1.081835150718689,0.8624559640884399
feats10_snr10_N100000,5,torch_optimized,19.74631895699713,0.9041962260677853,1.0846925973892212,0.8659102320671082
feats10_snr10_N100000,6,torch_optimized,27.415741818011156,0.9058406093335873,1.0756592750549316,0.8567982912063599
feats10_snr10_N100000,7,torch_optimized,38.71375741400698,0.9056650564138469,1.0717456340789795,0.8533164858818054
