dataset,round,method,train_time,adj_r2,rmse,mae,nan_detected
feats10_snr10_N100000,0,torch_MP,0.7386366999999154,,,,True
feats10_snr10_N100000,1,torch_MP,0.7162121000001207,0.902602981525679,1.0950089429899494,0.8728504776954651,False
feats10_snr10_N100000,2,torch_MP,0.23292579999542795,0.9052126371876482,1.075298418719444,0.8581889271736145,False
feats10_snr10_N100000,3,torch_MP,0.22660669998731464,0.9058652597611296,1.073683227221459,0.8558194637298584,False
feats10_snr10_N100000,4,torch_MP,0.0057446999999228865,,,,True
feats10_snr10_N100000,5,torch_MP,0.46389290000661276,0.9046545068749658,1.0820960290570676,0.8638023734092712,False
feats10_snr10_N100000,6,torch_MP,0.2493471000052523,0.905895366128135,1.0753504669750347,0.8563132882118225,False
feats10_snr10_N100000,7,torch_MP,0.23532459998386912,0.9055778482852226,1.0722436120947416,0.8534955978393555,False
feats10_snr10_N100000,8,torch_MP,0.22219539998332039,0.9050782614426379,1.0759634380332985,0.8585737347602844,False
feats10_snr10_N100000,9,torch_MP,0.6603341000154614,0.905285965566691,1.0774924039462315,0.8598384261131287,False
feats10_snr10_N10000,0,torch_MP,0.18081580000580288,0.8965158434687408,0.7806266968512438,0.6207494735717773,False
feats10_snr10_N10000,1,torch_MP,0.3053871000010986,0.9002248903008065,0.772460127298386,0.6152113080024719,False
feats10_snr10_N10000,2,torch_MP,0.007023400015896186,,,,True
feats10_snr10_N10000,3,torch_MP,0.08773470000596717,0.862413193544421,0.8962564947512794,0.7085291147232056,False
feats10_snr10_N10000,4,torch_MP,0.37229659999138676,0.8942080438674679,0.7843979547188962,0.623956561088562,False
feats10_snr10_N10000,5,torch_MP,0.00791480002226308,,,,True
feats10_snr10_N10000,6,torch_MP,0.18416800000704825,0.9017378813543261,0.7708569256720519,0.6148233413696289,False
feats10_snr10_N10000,7,torch_MP,0.1095828999823425,0.8972224992199445,0.7734723324108801,0.6197811365127563,False
feats10_snr10_N10000,8,torch_MP,0.1679844000027515,0.6240772964911845,1.48274414419466,0.6354668140411377,False
feats10_snr10_N10000,9,torch_MP,0.00454549997812137,,,,True
feats10_snr10_N500000,0,torch_MP,0.02441679997718893,,,,True
feats10_snr10_N500000,1,torch_MP,1.177385899994988,0.9039129922892297,0.9829497843380001,0.7836878895759583,False
feats10_snr10_N500000,2,torch_MP,0.021773099986603484,,,,True
feats10_snr10_N500000,3,torch_MP,2.6755653000145685,0.8993572866647375,1.0069147295605005,0.8039922714233398,False
feats10_snr10_N500000,4,torch_MP,1.8600796999817248,0.9067707320837453,0.9677672169444064,0.7724766135215759,False
feats10_snr10_N500000,5,torch_MP,1.846540600003209,0.8950280877506964,1.0283598425821436,0.8198806047439575,False
feats10_snr10_N500000,6,torch_MP,2.7387961000204086,0.6570947098275832,1.856547859004461,1.5962498188018799,False
feats10_snr10_N500000,7,torch_MP,2.353871800005436,0.9079877884032167,0.9635074953085615,0.7684152722358704,False
feats10_snr10_N500000,8,torch_MP,2.4488803999847732,0.9052527198745192,0.9766118761931459,0.7768551111221313,False
feats10_snr10_N500000,9,torch_MP,0.01844280000659637,,,,True
feats10_snr3_N100000,0,torch_MP,0.00870160001795739,,,,True
feats10_snr3_N100000,1,torch_MP,0.16865860001416877,0.7428578827962002,1.8084079984846213,1.4435694217681885,False
feats10_snr3_N100000,2,torch_MP,0.26227549999020994,0.7444858920440882,1.8060763080862594,1.4410368204116821,False
feats10_snr3_N100000,3,torch_MP,0.39570419999654405,0.7457548307009397,1.810710747307711,1.4452691078186035,False
feats10_snr3_N100000,4,torch_MP,0.12566180000430904,0.7422207009139156,1.811366351532318,1.445459008216858,False
feats10_snr3_N100000,5,torch_MP,0.21662399999331683,0.7435361404940625,1.8072449369371493,1.4414650201797485,False
feats10_snr3_N100000,6,torch_MP,0.00459450000198558,,,,True
feats10_snr3_N100000,7,torch_MP,0.24307540000882,0.7414452682096795,1.8107131832245205,1.443251371383667,False
feats10_snr3_N100000,8,torch_MP,0.16115329999593087,0.7452256144238962,1.8032323081416477,1.4377002716064453,False
feats10_snr3_N100000,9,torch_MP,0.22639120000530966,0.7439686586972787,1.8101723292809269,1.4433614015579224,False
feats10_snr3_N10000,0,torch_MP,0.011604100000113249,,,,True
feats10_snr3_N10000,1,torch_MP,0.1764402999833692,0.723206609314299,1.5126486586979293,1.2009652853012085,False
feats10_snr3_N10000,2,torch_MP,0.005591000022832304,,,,True
feats10_snr3_N10000,3,torch_MP,0.0866820000228472,0.7184635588462809,1.529879365291581,1.2229899168014526,False
feats10_snr3_N10000,4,torch_MP,0.13308149998192675,0.7249289931216826,1.5263764032731226,1.2145622968673706,False
feats10_snr3_N10000,5,torch_MP,0.13703759998315945,0.733642263984986,1.5018043791652858,1.1988730430603027,False
