dataset,round,method,train_time,adj_r2,rmse,mae
feats10_snr10_N10000,0,torch_gpu_optimized,11.334228239953518,0.8208651423895916,1.0270627737045288,0.7917929887771606
feats10_snr10_N10000,1,torch_gpu_optimized,8.81827855668962,0.8688190913805328,0.8857291340827942,0.6990475654602051
feats10_snr10_N10000,2,torch_gpu_optimized,13.689498854801059,0.8644361398561369,0.8922828435897827,0.7049570679664612
feats10_snr10_N10000,3,torch_gpu_optimized,12.474293537437916,0.8558993193465911,0.9172321557998657,0.7267433404922485
feats10_snr10_N10000,4,torch_gpu_optimized,10.045599540695548,0.8574320072203994,0.9105854034423828,0.7154695987701416
feats10_snr10_N10000,5,torch_gpu_optimized,10.020140070468187,0.8751660073926607,0.8645869493484497,0.6847583055496216
feats10_snr10_N10000,6,torch_gpu_optimized,8.806313831359148,0.8881983089209161,0.8222473859786987,0.6529361605644226
feats10_snr10_N10000,7,torch_gpu_optimized,8.789099924266338,0.85311269556996,0.9246719479560852,0.7169268727302551
feats10_snr10_N10000,8,torch_gpu_optimized,12.472840387374163,0.8610190528447734,0.901564359664917,0.7122935652732849
feats10_snr10_N10000,9,torch_gpu_optimized,10.011459866538644,0.86168619817911,0.9007553458213806,0.7086273431777954
feats10_snr10_N100000,0,torch_gpu_optimized,136.64650872722268,0.9045250145396492,1.0821608304977417,0.8622958064079285
feats10_snr10_N100000,1,torch_gpu_optimized,135.86315456032753,0.9034147472071847,1.090433955192566,0.8702981472015381
feats10_snr10_N100000,2,torch_gpu_optimized,146.59549097903073,0.9031749879044779,1.0867947340011597,0.8676676750183105
feats10_snr10_N100000,3,torch_gpu_optimized,266.69243231602013,0.8948576614197588,1.134721040725708,0.9033980369567871
feats10_snr10_N100000,4,torch_gpu_optimized,218.3191065005958,0.9052590269486246,1.0791053771972656,0.8604665398597717
feats10_snr10_N100000,5,torch_gpu_optimized,301.9469119980931,0.904323199416412,1.0839736461639404,0.8646048307418823
feats10_snr10_N100000,6,torch_gpu_optimized,219.05704196542501,0.9039335280503219,1.0864977836608887,0.8651785850524902
feats10_snr10_N100000,7,torch_gpu_optimized,182.40386439673603,0.9047251666868302,1.0770714282989502,0.8579436540603638
feats10_snr10_N100000,8,torch_gpu_optimized,134.53318309783936,0.9045988272306433,1.0786759853363037,0.8609597086906433
feats10_snr10_N100000,9,torch_gpu_optimized,169.92298592813313,0.9044420983676672,1.082281470298767,0.8637107014656067
feats10_snr10_N500000,0,torch_gpu_optimized,489.7709481008351,0.9051229678493427,0.9765374064445496,0.7791786193847656
feats10_snr10_N500000,1,torch_gpu_optimized,490.21113609708846,0.9055429757165899,0.9745767712593079,0.7773570418357849
feats10_snr10_N500000,2,torch_gpu_optimized,490.20170137286186,0.9030235722835207,0.988793671131134,0.7887132167816162
feats10_snr10_N500000,3,torch_gpu_optimized,1151.9253797400743,0.9050004445673299,0.9782767295837402,0.7807605862617493
feats10_snr10_N500000,4,torch_gpu_optimized,551.8533569369465,0.9055649156226534,0.974005401134491,0.7771421074867249
feats10_snr10_N500000,5,torch_gpu_optimized,554.3005974646658,0.9045194203607383,0.9807676076889038,0.7820193767547607
feats10_snr10_N500000,6,torch_gpu_optimized,675.3702392801642,0.9048515028106907,0.9779566526412964,0.7807807922363281
feats10_snr10_N500000,7,torch_gpu_optimized,851.491303363815,0.9041607716955529,0.9833400845527649,0.784768283367157
feats10_snr10_N500000,8,torch_gpu_optimized,1153.4841792099178,0.9054085831837129,0.975808322429657,0.778960645198822
feats10_snr10_N500000,9,torch_gpu_optimized,610.9524818323553,0.905366296337001,0.9764711260795593,0.7792591452598572
feats10_snr3_N10000,0,torch_gpu_optimized,8.647233946248889,0.6649082306716052,1.683650016784668,1.3341360092163086
feats10_snr3_N10000,1,torch_gpu_optimized,8.67795467376709,0.649238922644449,1.7028117179870605,1.3408175706863403
feats10_snr3_N10000,2,torch_gpu_optimized,8.670455124229193,0.6628911229301071,1.6898839473724365,1.3392832279205322
feats10_snr3_N10000,3,torch_gpu_optimized,7.4680323749780655,0.5885801703962159,1.8494044542312622,1.4427993297576904
feats10_snr3_N10000,4,torch_gpu_optimized,8.659356880933046,0.6752109066555207,1.6585938930511475,1.3047651052474976
feats10_snr3_N10000,5,torch_gpu_optimized,8.686389412730932,0.6614719224712602,1.6930763721466064,1.3333665132522583
feats10_snr3_N10000,6,torch_gpu_optimized,8.684968184679747,0.6454566295538897,1.7296483516693115,1.3798460960388184
feats10_snr3_N10000,7,torch_gpu_optimized,7.450351050123572,0.6634837926299293,1.6904700994491577,1.3471109867095947
feats10_snr3_N10000,8,torch_gpu_optimized,7.453050419688225,0.6607977750893462,1.6803611516952515,1.3239811658859253
feats10_snr3_N10000,9,torch_gpu_optimized,8.669059544801712,0.6812978889963084,1.6346924304962158,1.3015342950820923
feats10_snr3_N100000,0,torch_gpu_optimized,206.58662669174373,0.7381145664091318,1.8435219526290894,1.4672349691390991
feats10_snr3_N100000,1,torch_gpu_optimized,241.93551895208657,0.7342278809449021,1.838500738143921,1.4685016870498657
feats10_snr3_N100000,2,torch_gpu_optimized,182.742138909176,0.740908853504281,1.8186761140823364,1.4523565769195557
feats10_snr3_N100000,3,torch_gpu_optimized,218.05544776841998,0.7396757813041079,1.832228422164917,1.4629716873168945
feats10_snr3_N100000,4,torch_gpu_optimized,98.28965917602181,0.7392300414577555,1.8218399286270142,1.4550385475158691
feats10_snr3_N100000,5,torch_gpu_optimized,110.56590725667775,0.738160358254405,1.8260815143585205,1.4576411247253418
feats10_snr3_N100000,6,torch_gpu_optimized,242.95939461514354,0.7330141361767133,1.8451563119888306,1.4715248346328735
feats10_snr3_N100000,7,torch_gpu_optimized,110.46056127361953,0.7330970955972655,1.8397014141082764,1.46611750125885
feats10_snr3_N100000,8,torch_gpu_optimized,86.34160498715937,0.7420233885052742,1.8145270347595215,1.4457648992538452
feats10_snr3_N100000,9,torch_gpu_optimized,86.56340146809816,0.7368415987719783,1.8351881504058838,1.4630510807037354
feats10_snr3_N500000,0,torch_gpu_optimized,730.6312257889658,0.74066107542726,1.0860053300857544,0.8662911057472229
feats10_snr3_N500000,1,torch_gpu_optimized,970.4850447289646,0.7398462213961404,1.0868865251541138,0.8670976161956787
